"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Joe\Documents\Web development\ecommerce\server\middleware\credentials.js", "JavaScript", -9, 0, -3, -12
"c:\Users\Joe\Documents\Web development\ecommerce\server\middleware\verifyJWT.js", "JavaScript", -15, 0, -4, -19
"c:\Users\Joe\Documents\Web development\ecommerce\server\middleware\verifyRoles.js", "JavaScript", -14, 0, -2, -16
"c:\Users\Joe\Documents\Web development\ecommerce\server\model\Category.model.js.js", "JavaScript", 9, 0, 3, 12
"c:\Users\Joe\Documents\Web development\ecommerce\server\model\Product.model.js", "JavaScript", 43, 0, 5, 48
"c:\Users\Joe\Documents\Web development\ecommerce\server\model\User.model.js", "JavaScript", 32, 0, 3, 35
"Total", "-", 46, 0, 2, 48
