"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Joe\Documents\Web development\ecommerce\server\config\allowedOrigins.js", "JavaScript", 2, 0, 2, 4
"c:\Users\Joe\Documents\Web development\ecommerce\server\config\corsOptions.js", "JavaScript", 12, 0, 3, 15
"c:\Users\Joe\Documents\Web development\ecommerce\server\config\roles_list.js", "JavaScript", 6, 0, 2, 8
"c:\Users\Joe\Documents\Web development\ecommerce\server\controllers\appController.js", "JavaScript", -147, -5, -16, -168
"c:\Users\Joe\Documents\Web development\ecommerce\server\controllers\productController.js", "JavaScript", -73, 0, -4, -77
"c:\Users\Joe\Documents\Web development\ecommerce\server\controllers\refreshTokenController.js", "JavaScript", -26, 0, -5, -31
"Total", "-", -226, -5, -18, -249
