"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Joe\Documents\Web development\ecommerce\server\config\allowedOrigins.js", "JavaScript", -2, 0, -2, -4
"c:\Users\Joe\Documents\Web development\ecommerce\server\config\corsOptions.js", "JavaScript", -12, 0, -3, -15
"c:\Users\Joe\Documents\Web development\ecommerce\server\config\roles_list.js", "JavaScript", -6, 0, -2, -8
"c:\Users\Joe\Documents\Web development\ecommerce\server\middleware\credentials.js", "JavaScript", 9, 0, 3, 12
"c:\Users\Joe\Documents\Web development\ecommerce\server\middleware\verifyJWT.js", "JavaScript", 15, 0, 4, 19
"c:\Users\Joe\Documents\Web development\ecommerce\server\middleware\verifyRoles.js", "JavaScript", 14, 0, 2, 16
"Total", "-", 18, 0, 2, 20
